Transect	Distance	Abundance_tot	Richness_mean	Richness_mean_zoo	Richness_mean_nzoo	Richness_tot	Richness_tot_zoo	Richness_tot_nzoo	Abundance_tot_zoo	Abundance_tot_nzoo	Width_all	Weight_all	Width_zoo	Weight_nzoo
4	100	241	3	2.08333333333333	0.916666666666667	23	15	8	205	36	4.59419087136929	0.0479045643153527	4.86146341463415	0.0197222222222222
4	150	173	3.33333333333333	2.33333333333333	1	25	17	8	110	63	3.73179190751445	0.048971098265896	4.40454545454545	0.0259365079365079
5	-150	29	0.5	0.166666666666667	0.333333333333333	6	2	4	5	24	2.99310344827586	0.11448275862069	7.86	0.00291666666666667
5	-100	19	0.25	0.0833333333333333	0.166666666666667	3	1	2	2	17	2.05789473684211	0.053	13.25	0.001
5	-80	95	0.916666666666667	0.416666666666667	0.166666666666667	10	8	2	81	14	2.09894736842105	0.0217207937877481	2.39012345679012	0.000428571428571429
5	-60	28	1.08333333333333	0.833333333333333	0.416666666666667	7	4	3	15	13	2.06785714285714	0.0120357142857143	2.98666666666667	0.000769230769230769
5	-40	30	0.833333333333333	0.416666666666667	0.416666666666667	9	5	4	17	13	6.43	0.359333333333333	9.49411764705882	0
5	-20	36	0.833333333333333	0.333333333333333	0.583333333333333	8	3	5	3	33	3.7	0.00944444444444444	3.16666666666667	0.00909090909090909
5	0	37	1.41666666666667	0.75	0.5	14	9	5	24	13	3.64054054054054	0.0395405405405405	3.775	0.0492307692307692
5	20	188	3.41666666666667	2.33333333333333	1.16666666666667	31	21	10	77	111	3.96170212765957	0.0798351063829787	5.36103896103896	0.0226936936936937
5	40	109	2	1.41666666666667	0.5	16	13	3	100	9	6.5348623853211	0.218045871559633	6.866	0.01
5	60	136	2	1.08333333333333	1.08333333333333	17	8	9	63	73	5.368712484994	0.0580073529411765	7.75555555555556	0.0182054794520548
5	80	31	1.91666666666667	1	0.833333333333333	20	11	9	13	18	4.42903225806452	0.0229032258064516	4.66923076923077	0.00888888888888889
5	100	44	1.41666666666667	1.16666666666667	0.416666666666667	14	12	2	16	28	2.54318181818182	0.0697727272727273	4.4875	0.000357142857142857
5	150	53	2.33333333333333	1.75	0.583333333333333	24	19	5	37	16	4.28679245283019	0.103132075471698	5.27567567567568	0.000625
6	-150	8	0.166666666666667	0.0833333333333333	0.0833333333333333	2	1	1	6	2	2.85	0.01	3.1	0.01
6	-100	5	0.0833333333333333	0	0.0833333333333333	1	0	1	0	5	3.36	0.002	NA	0.002
6	-80	35	0.833333333333333	0.333333333333333	0.5	8	4	4	7	28	3.00285714285714	0.0403714285714286	4.95714285714286	0.0240357142857143
6	-60	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA
6	-40	33	0.416666666666667	0.0833333333333333	0.333333333333333	3	1	2	1	32	1.97575757575758	0.00606060606060606	5.7	0.00625
6	-20	57	0.333333333333333	0	0.333333333333333	2	0	2	0	57	2.95614035087719	0.0128070175438596	NA	0.0128070175438596
6	0	46	1.41666666666667	0.583333333333333	0.833333333333333	13	5	8	12	34	3.24565217391304	0.00826086956521739	3.225	0.00764705882352941
6	20	58	2.16666666666667	1.25	0.916666666666667	18	10	8	28	30	3.67413793103448	0.0551724137931034	4.16428571428571	0.0196666666666667
6	40	419	2.75	1.5	1.25	15	8	7	328	91	3.21439846733515	0.0173890214797136	3.41900292016289	0.0213186813186813
6	60	98	2.25	1.33333333333333	0.916666666666667	21	15	6	33	65	5.70408163265306	0.130408163265306	8.90606060606061	0.00923076923076923
6	80	330	4.16666666666667	1.41666666666667	2.75	31	16	15	32	298	4.00580931263858	0.0405818181818182	6.4125	0.0188657718120805
6	100	49	2.16666666666667	1.41666666666667	0.75	21	14	7	34	15	4.31224489795918	0.120714285714286	4.92647058823529	0.026
6	150	126	2.91666666666667	1.66666666666667	1.25	24	16	8	52	74	3.73492063492063	0.0300793650793651	4.88461538461538	0.00797297297297297
7	-150	138	2.33333333333333	0.916666666666667	1.41666666666667	16	7	9	34	104	2.90942028985507	0.00927536231884058	4.13823529411765	0.00163461538461538
7	-100	38	0.916666666666667	0.583333333333333	0.333333333333333	10	7	3	17	21	2.32368421052632	0.0278947368421053	4.42352941176471	0
7	-80	30	0.333333333333333	0.0833333333333333	0.25	5	2	3	18	12	3.77333333333333	0.0163333333333333	4.42777777777778	0.00416666666666667
7	-60	29	0.833333333333333	0.5	0.333333333333333	9	5	4	19	10	2.41379310344828	0.00758620689655172	2.47894736842105	0.011
7	-40	111	2	0.833333333333333	1.16666666666667	12	6	6	39	72	6.55945945945946	0.0867567567567568	4.17692307692308	0.108888888888889
7	-20	128	1.83333333333333	1.33333333333333	0.5	15	11	4	114	14	4.39746668198529	0.03734375	4.58926083591331	0.00357142857142857
7	0	14	0.5	0.0833333333333333	0.416666666666667	3	1	2	2	12	4.18571428571429	0.0614285714285714	2.5	0.0716666666666667
7	20	45	1.41666666666667	0.833333333333333	0.583333333333333	13	10	3	24	21	3.55555555555556	0.0284444444444444	4.75	0.00476190476190476
7	40	301	3	1.58333333333333	1.41666666666667	21	12	9	226	75	3.50299003322259	0.0284651162790698	3.50973451327434	0.0222666666666667
7	60	45	1	0.416666666666667	0.583333333333333	9	5	4	11	34	1.56888888888889	0.00664444444444444	3.55454545454545	0.00135294117647059
7	80	77	1.91666666666667	1.41666666666667	0.5	15	13	2	58	19	4.50649350649351	0.263571428571429	4.98965517241379	0.00526315789473684
7	100	139	2.58333333333333	1.5	1.08333333333333	21	15	6	43	96	5.15395683453237	0.116330935251799	7.87441860465116	0.05125
7	150	30	2.25	1.16666666666667	1.08333333333333	21	10	11	16	14	6.56666666666667	0.165733333333333	7.35	0.0237142857142857
