Medidor	Planta	Folha	AE	AD	FAtot	FArel	FAtot_abs	FArel_abs	Atot
Andreza	25	12	32.064	31.838	-0.226	-0.0035366655	0.226	0.0035366655	63.902
Andreza	25	13	23.13	23.726	0.596	0.0127198224	0.596	0.0127198224	46.856
Andreza	25	6	33.671	34.746	1.075	0.0157124691	1.075	0.0157124691	68.417
Andreza	25	8	16.255	14.999	-1.256	-0.0401868561	1.256	0.0401868561	31.254
Andreza	25	10	25.951	24.551	-1.4	-0.0277216744	1.4	0.0277216744	50.502
Andreza	25	2	13.747	15.532	1.785	0.0609651969	1.785	0.0609651969	29.279
Andreza	25	1	20.06	22.336	2.276	0.0536843098	2.276	0.0536843098	42.396
Andreza	25	11	18.718	21.072	2.354	0.0591605931	2.354	0.0591605931	39.79
Andreza	25	14	36.599	33.097	-3.502	-0.050246786	3.502	0.050246786	69.696
Andreza	25	5	17.033	13.198	-3.835	-0.126856538	3.835	0.126856538	30.231
Andreza	25	15	26.422	31.249	4.827	0.0836989128	4.827	0.0836989128	57.671
Andreza	26	5	12.485	12.487	0.002	8.0089700464547E-005	0.002	8.0089700464547E-005	24.972
Andreza	26	3	6.312	6.533	0.221	0.0172051382	0.221	0.0172051382	12.845
Andreza	26	10	10.067	10.435	0.368	0.0179494683	0.368	0.0179494683	20.502
Andreza	26	4	15.324	15.814	0.49	0.0157363993	0.49	0.0157363993	31.138
Andreza	26	11	20.553	21.104	0.551	0.0132270687	0.551	0.0132270687	41.657
Andreza	26	9	12.944	12.383	-0.561	-0.0221502744	0.561	0.0221502744	25.327
Andreza	26	13	6.869	7.489	0.62	0.0431815016	0.62	0.0431815016	14.358
Andreza	26	7	23.998	23.281	-0.717	-0.0151652954	0.717	0.0151652954	47.279
Andreza	26	14	13.96	14.969	1.009	0.0348784956	1.009	0.0348784956	28.929
Andreza	26	15	18.818	17.579	-1.239	-0.0340412671	1.239	0.0340412671	36.397
Andreza	26	8	14.552	13.262	-1.29	-0.0463795211	1.29	0.0463795211	27.814
Andreza	26	12	13.615	15.377	1.762	0.0607753863	1.762	0.0607753863	28.992
