Medidor	Ind	AFtot_abs	AFrel_abs	Dens	ABtotal	ABmedia	Hmax	Hmedia
Pavel	15	0.7426	0.0427318417	5	15.695553977	3.1391107954	177	137.6
Pavel	16	0.7903333333	0.0326874825	4	6.6443899225	1.6610974806	147	132.75
Pavel	17	2.1568666667	0.0535903576	6	20.7231232403	3.4538538734	210	164
Pavel	18	1.0635625	0.0631763319	2	3.4020306846	1.7010153423	144	141.5
Pavel	19	1.5494	0.0565048312	12	45.12418754	3.7603489617	295	181.135
Pavel	20	3.6554666667	0.0742150331	1	1.6512996385	1.6512996385	133	133
Pavel	21	2.8094666667	0.0696990598	4	112.9347581094	28.2336895274	382	225
Pavel	22	2.3445333333	0.0481545037	7	34.5844583465	4.9406369066	272	216.4285714286
Pavel	23	2.469	0.0608228864	1	43.1247208956	43.1247208956	300	300
Pavel	24	0.7898666667	0.0529299432	1	1.5393804003	1.5393804003	127	127
Pavel	25	1.624	0.0377899702	4	17.211529512	4.302882378	234	201.5
Pavel	26	1.3208	0.037174889	1	3.1415926536	3.1415926536	224	224
Pavel	27	1.3742666667	0.0354356878	2	10.5321893712	5.2660946856	264	214
Pavel	28	2.4268	0.0599036071	3	15.4416347507	5.1472115836	231	213.3333333333
Pavel	29	1.5254	0.041142753	5	10.6335057342	2.1267011468	240	196.4
Pavel	30	1.3824666667	0.0493944609	1	3.1730871199	3.1730871199	234	234
Pavel	31	2.5748571429	0.0533761874	2	64.7995110906	32.3997555453	387	306
Pavel	32	1.3502307692	0.044531963	6	95.3038259782	15.8839709964	492	359.8333333333
Pavel	33	1.7135333333	0.0549891089	5	160.8952540369	32.1790508074	462	436.6
Pavel	34	1.9599333333	0.0374326463	1	12.1303960939	12.1303960939	247	247
Pavel	35	2.0414666667	0.0383709078	7	38.2608286095	5.4658326585	270	211.5714285714
Pavel	36	1.8562	0.0466689396	2	6.1359231515	3.0679615758	204	183
Pavel	37	2.2735333333	0.0594292749	1	2.4328493509	2.4328493509	92	92
Pavel	38	2.1552	0.0561078369	4	33.4948754744	8.3737188686	255	176.5
Pavel	39	2.0120666667	0.0473982698	2	5.9143623296	2.9571811648	213	188
Pavel	40	1.9642142857	0.0377006208	4	31.8504873397	7.9626218349	226	165.75
Pavel	41	1.7426666667	0.0601406807	5	34.9303476977	6.9860695395	295	223.8
Pavel	42	1.2374	0.0440042108	4	20.7543820872	5.1885955218	172	158
Pavel	43	0.7114	0.0421328924	1	9.0258742336	9.0258742336	133	133
Pavel	44	1.8393333333	0.0528732782	2	38.3290797099	19.164539855	270	193
Pavel	45	2.0881333333	0.0819476747	4	64.7919712682	16.197992817	255	183.25
Pavel	46	2.1021333333	0.0620818812	5	15.3811590922	3.0762318184	192	147.8
Pavel	47	1.789	0.065690386	5	16.2858592366	3.2571718473	210	136.6
Pavel	48	2.0056666667	0.0735628767	9	24.0692335757	2.6743592862	215	145.4444444444
Pavel	49	2.9374666667	0.0667669884	3	12.8403960336	4.2801320112	210	168.3333333333
Pavel	50	2.1950666667	0.0459258453	6	16.5450406305	2.7575067717	196	114
Pavel	51	0.8630666667	0.0361694455	11	16.3500262665	1.4863660242	173	103.3636363636
Pavel	52	2.513	0.0671312378	1	11.5209271191	11.5209271191	257	257
Pavel	53	4.8283333333	0.1228374359	5	12.6877931704	2.5375586341	220	174.4
Pavel	54	3.1360666667	0.077016779	8	19.6623644808	2.4577955601	205	151.125
Pavel	55	1.2051333333	0.0381820363	6	21.306988235	3.5511647058	162	116
Pavel	56	1.8435333333	0.048974516	7	19.1748678408	2.7392668344	196	131.7142857143
Pavel	57	0.8828	0.0467917628	3	8.8543432747	2.9514477582	139	92.6666666667
Pavel	58	0.5820666667	0.0321548124	14	18.9116023764	1.3508287412	153	75.5
Pavel	59	0.9610666667	0.0693738833	5	51.1942157857	10.2388431571	174	140.2
Pavel	60	0.9334666667	0.082614665	1	1.7671458676	1.7671458676	89	89
Pavel	61	2.2229333333	0.0527956834	6	25.8666958124	4.3111159687	210	157.5
Pavel	63	2.1492	0.0557457223	6	8.409022516	1.4015037527	185	112.8333333333
Pavel	64	0.9618666667	0.0467169986	2	2.1433515879	1.071675794	113	75
Pavel	65	1.5372	0.0506018159	4	7.5296121925	1.8824030481	135	82.5
Pavel	66	2.4993333333	0.0520976921	4	10.5187590626	2.6296897656	209	134
Pavel	67	1.1806666667	0.0315569129	1	1.8869190876	1.8869190876	172	172
Pavel	68	2.2454666667	0.0408240959	5	20.3567349971	4.0713469994	245	197.4
Pavel	69	2.5250666667	0.068245736	1	21.8956441585	21.8956441585	195	195
Pavel	70	1.8124666667	0.0359768402	1	2.4052818754	2.4052818754	150	150
Pavel	71	2.4849333333	0.0523323998	4	12.5905608778	3.1476402194	195	155.75
Pavel	72	2.3077272727	0.0692913749	7	13.7100674199	1.95858106	117	95.8571428571
Pavel	73	1.3435333333	0.0522918436	3	81.1062619183	27.0354206394	190	174.6666666667
Pavel	74	1.9003333333	0.0519325251	1	3.3006357817	3.3006357817	190	190
Pavel	75	2.2514	0.0542037092	4	10.1844150644	2.5461037661	185	143.25
Pavel	76	2.2994	0.0575250508	7	7.6428666077	1.0918380868	215	94
Pavel	77	1.8498666667	0.0466687548	2	7.1453168711	3.5726584356	174	156
Pavel	78	1.7801333333	0.0623324728	5	10.6060167985	2.1212033597	165	125
Pavel	79	2.5087333333	0.0560109257	5	11.6571937004	2.3314387401	225	131.6
Pavel	80	2.2856666667	0.0589948576	3	4.1197275263	1.3732425088	170	150.6666666667
